Rank	Player	Season	Value
1	Alonzo Mourning	1999 - 2000	3.721519
2	Hassan Whiteside	2015 - 2016	3.684932
3	Serge Ibaka	2011 - 2012	3.651515
4	Theo Ratliff	2003 - 2004	3.611765
5	Marcus Camby	2007 - 2008	3.607595
6	Ben Wallace	2001 - 2002	3.462500
7	Marcus Camby	2006 - 2007	3.300000
8	Dikembe Mutombo	1999 - 2000	3.280488
9	Theo Ratliff	2002 - 2003	3.234568
10	Ben Wallace	2002 - 2003	3.150685
11	Ben Wallace	2003 - 2004	3.037037
12	Shaquille O'Neal	1999 - 2000	3.025316
13	Serge Ibaka	2012 - 2013	3.025000
14	Marcus Camby	2004 - 2005	2.969697
15	Anthony Davis	2014 - 2015	2.941176
16	Tim Duncan	2002 - 2003	2.925926
17	Hassan Whiteside	2019 - 2020	2.925373
18	Dwight Howard	2008 - 2009	2.924051
19	Josh Smith	2006 - 2007	2.875000
20	Larry Sanders	2012 - 2013	2.830986
21	Jermaine O'Neal	2000 - 2001	2.814815
22	Josh Smith	2007 - 2008	2.802469
23	Shawn Bradley	2000 - 2001	2.780488
24	Dwight Howard	2009 - 2010	2.780488
25	Shaquille O'Neal	2000 - 2001	2.756757
26	Andrei Kirilenko	2003 - 2004	2.756410
27	Raef LaFrentz	2001 - 2002	2.730769
28	Dikembe Mutombo	2000 - 2001	2.706667
29	Serge Ibaka	2013 - 2014	2.703704
30	Myles Turner	2018 - 2019	2.689189
31	Tim Duncan	2003 - 2004	2.681159
32	Alonzo Mourning	2005 - 2006	2.661538
33	Tim Duncan	2012 - 2013	2.652174
34	Rudy Gobert	2016 - 2017	2.641975
35	Raef LaFrentz	2000 - 2001	2.641026
36	Tim Duncan	2004 - 2005	2.636364
37	Roy Hibbert	2012 - 2013	2.607595
38	Josh Smith	2005 - 2006	2.600000
39	Marcus Camby	2003 - 2004	2.597222
40	Anthony Davis	2017 - 2018	2.573333
41	Jermaine O'Neal	2003 - 2004	2.551282
42	Elton Brand	2005 - 2006	2.544304
43	Adonal Foyle	2002 - 2003	2.500000
44	Zydrunas Ilgauskas	2003 - 2004	2.481481
45	Alonzo Mourning	2001 - 2002	2.480000
46	Shaquille O'Neal	2003 - 2004	2.477612
47	DeAndre Jordan	2013 - 2014	2.475610
48	Tim Duncan	2001 - 2002	2.475610
49	Shawn Bradley	1999 - 2000	2.467532
50	Chris Andersen	2008 - 2009	2.464789
51	David Robinson	2000 - 2001	2.462500
52	Dwight Howard	2012 - 2013	2.447368
53	JaVale McGee	2010 - 2011	2.443038
54	Mitchell Robinson	2018 - 2019	2.439394
55	Serge Ibaka	2010 - 2011	2.414634
56	Anthony Davis	2018 - 2019	2.410714
57	Brook Lopez	2019 - 2020	2.397059
58	Dwight Howard	2010 - 2011	2.384615
59	Ben Wallace	2004 - 2005	2.378378
60	Tim Duncan	2006 - 2007	2.375000
61	Dikembe Mutombo	2001 - 2002	2.375000
62	Shaquille O'Neal	2002 - 2003	2.373134
63	Shaquille O'Neal	2004 - 2005	2.342466
64	Samuel Dalembert	2007 - 2008	2.341463
65	Tim Duncan	2000 - 2001	2.341463
66	Ben Wallace	2000 - 2001	2.325000
67	Jermaine O'Neal	2002 - 2003	2.311688
68	Alonzo Mourning	2006 - 2007	2.311688
69	Rudy Gobert	2018 - 2019	2.308642
70	Anthony Davis	2019 - 2020	2.306452
71	Jermaine O'Neal	2001 - 2002	2.305556
72	Samuel Dalembert	2003 - 2004	2.304878
73	Rudy Gobert	2014 - 2015	2.304878
74	Rudy Gobert	2017 - 2018	2.303571
75	DeAndre Jordan	2015 - 2016	2.298701
76	Erick Dampier	2001 - 2002	2.287671
77	David Robinson	1999 - 2000	2.287500
78	Roy Hibbert	2013 - 2014	2.246914
79	Elton Brand	2006 - 2007	2.237500
80	DeAndre Jordan	2014 - 2015	2.231707
81	Tim Duncan	1999 - 2000	2.229730
82	Anthony Davis	2016 - 2017	2.226667
83	Raef LaFrentz	1999 - 2000	2.222222
84	Brook Lopez	2018 - 2019	2.209877
85	Ben Wallace	2005 - 2006	2.207317
86	Andrei Kirilenko	2002 - 2003	2.187500
87	Kevin Garnett	2003 - 2004	2.170732
88	JaVale McGee	2011 - 2012	2.163934
89	Dwight Howard	2007 - 2008	2.146341
90	Joel Przybilla	2004 - 2005	2.144737
91	Joakim Noah	2012 - 2013	2.136364
92	Josh Smith	2009 - 2010	2.135802
93	Myles Turner	2019 - 2020	2.129032
94	Ronny Turiaf	2008 - 2009	2.126582
95	Greg Ostertag	1999 - 2000	2.123457
96	Myles Turner	2016 - 2017	2.123457
97	Zydrunas Ilgauskas	2004 - 2005	2.115385
98	Eddie Griffin	2005 - 2006	2.114286
99	Shawn Bradley	2002 - 2003	2.098765
100	Hassan Whiteside	2016 - 2017	2.090909
