Rank	Player	Season	Value
1	Mitchell Robinson	2019 - 2020	0.741935
2	Dwight Howard	2019 - 2020	0.729242
3	Damian Jones	2018 - 2019	0.716216
4	DeAndre Jordan	2016 - 2017	0.714038
5	DeAndre Jordan	2014 - 2015	0.709738
6	DeAndre Jordan	2015 - 2016	0.702756
7	Mitchell Robinson	2018 - 2019	0.694158
8	Rudy Gobert	2019 - 2020	0.692998
9	DeAndre Jordan	2010 - 2011	0.686217
10	Nerlens Noel	2019 - 2020	0.684015
11	Damian Jones	2019 - 2020	0.679775
12	Tyson Chandler	2011 - 2012	0.678873
13	DeAndre Jordan	2013 - 2014	0.675728
14	Jaxson Hayes	2019 - 2020	0.669231
15	Rudy Gobert	2018 - 2019	0.668539
16	Tony Bradley	2019 - 2020	0.666667
17	Tyson Chandler	2014 - 2015	0.665909
18	DeAndre Jordan	2019 - 2020	0.665505
19	Rudy Gobert	2016 - 2017	0.660800
20	Lucas Nogueira	2016 - 2017	0.660256
21	Mason Plumlee	2013 - 2014	0.658940
22	Jakob Poeltl	2017 - 2018	0.658854
23	Tyson Chandler	2010 - 2011	0.653563
24	Clint Capela	2017 - 2018	0.652367
25	Montrezl Harrell	2016 - 2017	0.652174
26	JaVale McGee	2016 - 2017	0.652038
27	Erick Dampier	2008 - 2009	0.650000
28	Jarrett Allen	2019 - 2020	0.649462
29	Clint Capela	2018 - 2019	0.647541
30	DeAndre Jordan	2017 - 2018	0.645329
31	Jakob Poeltl	2018 - 2019	0.644828
32	Chris Andersen	2013 - 2014	0.643636
33	DeAndre Jordan	2012 - 2013	0.643443
34	Clint Capela	2016 - 2017	0.642984
35	Erick Dampier	2007 - 2008	0.642599
36	Salah Mejri	2017 - 2018	0.642336
37	Salah Mejri	2016 - 2017	0.642336
38	Brandan Wright	2014 - 2015	0.641873
39	DeAndre Jordan	2018 - 2019	0.641256
40	Dwight Powell	2019 - 2020	0.637555
41	Tyson Chandler	2012 - 2013	0.637500
42	JaVale McGee	2019 - 2020	0.637255
43	Montrezl Harrell	2017 - 2018	0.635036
44	Dwight Howard	2016 - 2017	0.632953
45	DeAndre Jordan	2011 - 2012	0.631902
46	Steven Adams	2017 - 2018	0.629213
47	Clint Capela	2019 - 2020	0.628866
48	Andrew Bogut	2015 - 2016	0.627240
49	Jordan Bell	2017 - 2018	0.627027
50	Andris Biedrins	2007 - 2008	0.626151
51	Erick Dampier	2006 - 2007	0.625749
52	Kevon Looney	2018 - 2019	0.625360
53	Joel Przybilla	2008 - 2009	0.624535
54	Jakob Poeltl	2019 - 2020	0.624060
55	JaVale McGee	2018 - 2019	0.624025
56	Tyson Chandler	2006 - 2007	0.623932
57	Tyson Chandler	2007 - 2008	0.623140
58	Andre Drummond	2013 - 2014	0.622887
59	Amir Johnson	2009 - 2010	0.622754
60	Dewayne Dedmon	2016 - 2017	0.621622
61	Rudy Gobert	2017 - 2018	0.621622
62	Hassan Whiteside	2019 - 2020	0.621083
63	JaVale McGee	2017 - 2018	0.621005
64	Greg Smith	2012 - 2013	0.620438
65	Dwight Howard	2015 - 2016	0.620000
66	Cheick Diallo	2018 - 2019	0.619926
67	Tiago Splitter	2011 - 2012	0.618076
68	Brandon Clarke	2019 - 2020	0.617954
69	Maybyner Nene	2016 - 2017	0.617128
70	Derrick Favors	2019 - 2020	0.616519
71	Tyson Chandler	2018 - 2019	0.616162
72	Ed Davis	2018 - 2019	0.615894
73	Thomas Bryant	2018 - 2019	0.615538
74	Boban Marjanovic	2018 - 2019	0.615385
75	Kendrick Perkins	2007 - 2008	0.614943
76	Montrezl Harrell	2018 - 2019	0.614865
77	Maybyner Nene	2010 - 2011	0.614679
78	Mason Plumlee	2019 - 2020	0.614583
79	Bo Outlaw	2000 - 2001	0.614130
80	Steven Hunter	2004 - 2005	0.613636
81	Steven Adams	2015 - 2016	0.612676
82	Dwight Howard	2009 - 2010	0.611511
83	Ivica Zubac	2019 - 2020	0.611399
84	Ed Davis	2015 - 2016	0.611276
85	Bismack Biyombo	2013 - 2014	0.611111
86	Shaquille O'Neal	2008 - 2009	0.608799
87	Mikki Moore	2006 - 2007	0.608696
88	Richaun Holmes	2018 - 2019	0.608219
89	Fabricio Oberto	2007 - 2008	0.608108
90	Deyonta Davis	2017 - 2018	0.607547
91	Hassan Whiteside	2015 - 2016	0.605572
92	DeAndre Jordan	2009 - 2010	0.605042
93	Rudy Gobert	2014 - 2015	0.604215
94	Hasheem Thabeet	2012 - 2013	0.603774
95	Maybyner Nene	2008 - 2009	0.603667
96	Solomon Jones	2008 - 2009	0.603604
97	Dwight Howard	2006 - 2007	0.602520
98	Bo Outlaw	1999 - 2000	0.601770
99	Kendrick Perkins	2009 - 2010	0.601533
100	Ed Davis	2014 - 2015	0.601279
