Rank	Player	Season	Value
1	Tony Snell	2019 - 2020	1.000000
2	Ray Allen	2008 - 2009	0.951807
3	Jeff Hornacek	1999 - 2000	0.950000
4	Brian Roberts	2013 - 2014	0.939850
5	Steve Nash	2009 - 2010	0.937778
6	Stephen Curry	2010 - 2011	0.933921
7	Steve Nash	2008 - 2009	0.933333
8	Reggie Miller	2004 - 2005	0.932836
9	Anthony Morrow	2011 - 2012	0.932692
10	Jim Jackson	2004 - 2005	0.931034
11	Duncan Robinson	2019 - 2020	0.930556
12	Peja Stojakovic	2007 - 2008	0.928571
13	Reggie Miller	2000 - 2001	0.928161
14	Steve Smith	2003 - 2004	0.927711
15	Malcolm Brogdon	2018 - 2019	0.927632
16	Jamal Crawford	2011 - 2012	0.927184
17	Peja Stojakovic	2003 - 2004	0.927059
18	Brad Wanamaker	2019 - 2020	0.926471
19	Kyle Korver	2013 - 2014	0.925532
20	Jon Barry	2001 - 2002	0.923077
21	Quincy Douby	2007 - 2008	0.923077
22	Steve Nash	2005 - 2006	0.921147
23	Sasha Vujacic	2008 - 2009	0.921053
24	Earl Boykins	2004 - 2005	0.920792
25	Stephen Curry	2017 - 2018	0.920530
26	Malik Allen	2007 - 2008	0.920000
27	Peja Stojakovic	2004 - 2005	0.920000
28	Devin Booker	2019 - 2020	0.919450
29	Courtney Lee	2017 - 2018	0.919355
30	Allan Houston	2002 - 2003	0.918987
31	Reggie Miller	1999 - 2000	0.918719
32	Chris Paul	2017 - 2018	0.918552
33	Michael Finley	2006 - 2007	0.918367
34	Darius Songaila	2007 - 2008	0.917808
35	Chauncey Billups	2007 - 2008	0.917620
36	Eddie House	2007 - 2008	0.916667
37	Chauncey Billups	2010 - 2011	0.916468
38	Stephen Curry	2018 - 2019	0.916376
39	Damian Lillard	2017 - 2018	0.916357
40	Steve Nash	2003 - 2004	0.916335
41	Khris Middleton	2019 - 2020	0.916300
42	Ray Allen	2002 - 2003	0.915942
43	Peja Stojakovic	2005 - 2006	0.915385
44	Kyle Korver	2007 - 2008	0.915385
45	Ray Allen	2011 - 2012	0.915094
46	Dirk Nowitzki	2009 - 2010	0.914676
47	Damon Stoudamire	2004 - 2005	0.914573
48	Stephen Curry	2014 - 2015	0.913947
49	Kyle Korver	2006 - 2007	0.913876
50	Ray Allen	2009 - 2010	0.913043
51	Steve Novak	2008 - 2009	0.913043
52	Chauncey Billups	2008 - 2009	0.912664
53	Mo Williams	2008 - 2009	0.912281
54	Damian Lillard	2018 - 2019	0.912281
55	Steve Nash	2010 - 2011	0.911647
56	C.J. McCollum	2016 - 2017	0.911565
57	Darrell Armstrong	1999 - 2000	0.910931
58	Shannon Brown	2010 - 2011	0.910891
59	J.J. Redick	2011 - 2012	0.910828
60	Reggie Miller	2001 - 2002	0.910769
61	Chauncey Billups	2009 - 2010	0.910156
62	Sarunas Jasikevicius	2005 - 2006	0.909774
63	Isaiah Thomas	2016 - 2017	0.909091
64	Brian Roberts	2012 - 2013	0.909091
65	Steve Novak	2012 - 2013	0.909091
66	Allan Houston	2000 - 2001	0.908795
67	Steve Nash	2002 - 2003	0.908555
68	Jose Calderon	2007 - 2008	0.908333
69	Muggsy Bogues	1999 - 2000	0.908046
70	Marco Belinelli	2017 - 2018	0.907975
71	Ben Gordon	2007 - 2008	0.907850
72	Stephen Curry	2015 - 2016	0.907500
73	Mario Hezonja	2015 - 2016	0.907407
74	Ray Allen	2007 - 2008	0.907173
75	Luke Ridnour	2009 - 2010	0.907143
76	Roger Mason	2012 - 2013	0.906977
77	Chris Paul	2019 - 2020	0.906810
78	Wayne Ellington	2012 - 2013	0.906667
79	Steve Nash	2007 - 2008	0.906122
80	Jodie Meeks	2011 - 2012	0.905882
81	D.J. Augustin	2010 - 2011	0.905724
82	Kyrie Irving	2016 - 2017	0.905488
83	Kevin Durant	2012 - 2013	0.905333
84	Ray Allen	2013 - 2014	0.905172
85	Jamal Murray	2017 - 2018	0.905138
86	Kyle Korver	2016 - 2017	0.904762
87	Toney Douglas	2012 - 2013	0.904762
88	Jamal Crawford	2015 - 2016	0.904059
89	Danilo Gallinari	2018 - 2019	0.903941
90	Matt Carroll	2006 - 2007	0.903846
91	Dirk Nowitzki	2006 - 2007	0.903811
92	J.J. Redick	2017 - 2018	0.903670
93	Marco Belinelli	2018 - 2019	0.903226
94	C.J. Miles	2016 - 2017	0.903226
95	Ray Allen	2006 - 2007	0.902913
96	Trey Burke	2013 - 2014	0.902655
97	Jamal Crawford	2017 - 2018	0.902655
98	Bojan Bogdanovic	2019 - 2020	0.902527
99	Ray Allen	2005 - 2006	0.902507
100	Danilo Gallinari	2016 - 2017	0.901809
