Rank	Player	Season	Value
1	Danny Fortson	2004 - 2005	0.712810
2	Nerlens Noel	2019 - 2020	0.701058
3	Damian Jones	2018 - 2019	0.693694
4	Mitchell Robinson	2019 - 2020	0.689162
5	Tyson Chandler	2010 - 2011	0.686610
6	Tyson Chandler	2014 - 2015	0.685796
7	Damian Jones	2019 - 2020	0.682657
8	Tyson Chandler	2011 - 2012	0.681548
9	DeAndre Jordan	2019 - 2020	0.669927
10	Tony Bradley	2019 - 2020	0.668067
11	Rudy Gobert	2019 - 2020	0.666667
12	DeAndre Jordan	2018 - 2019	0.664789
13	Mitchell Robinson	2018 - 2019	0.664319
14	Amar'e Stoudemire	2007 - 2008	0.659596
15	Tyson Chandler	2012 - 2013	0.659574
16	Chris Andersen	2013 - 2014	0.657895
17	Rudy Gobert	2016 - 2017	0.656987
18	Jaxson Hayes	2019 - 2020	0.656388
19	Rudy Gobert	2018 - 2019	0.654781
20	Boban Marjanovic	2018 - 2019	0.653367
21	Brandan Wright	2014 - 2015	0.650628
22	Ivica Zubac	2019 - 2020	0.649819
23	Maybyner Nene	2010 - 2011	0.649387
24	Carl Landry	2008 - 2009	0.648208
25	Richaun Holmes	2018 - 2019	0.648148
26	Amar'e Stoudemire	2006 - 2007	0.647596
27	Solomon Jones	2008 - 2009	0.647059
28	Erick Dampier	2008 - 2009	0.646081
29	Rudy Gobert	2017 - 2018	0.646030
30	Jakob Poeltl	2017 - 2018	0.644764
31	Clint Capela	2018 - 2019	0.644512
32	Yao Ming	2008 - 2009	0.643585
33	Tiago Splitter	2011 - 2012	0.643130
34	Enes Kanter	2017 - 2018	0.642937
35	Maybyner Nene	2008 - 2009	0.642329
36	Dewayne Dedmon	2016 - 2017	0.642045
37	Mason Plumlee	2013 - 2014	0.642000
38	Cheick Diallo	2018 - 2019	0.640351
39	Montrezl Harrell	2016 - 2017	0.638478
40	Jarrett Allen	2019 - 2020	0.638327
41	Lucas Nogueira	2016 - 2017	0.638298
42	Joel Przybilla	2008 - 2009	0.637813
43	Hassan Whiteside	2019 - 2020	0.637131
44	JaVale McGee	2019 - 2020	0.637056
45	Jonas Valanciunas	2014 - 2015	0.635091
46	Dwight Howard	2019 - 2020	0.635081
47	Aron Baynes	2014 - 2015	0.634483
48	Ryan Hollins	2010 - 2011	0.633508
49	Jonas Valanciunas	2012 - 2013	0.632911
50	Jarrett Allen	2017 - 2018	0.631485
51	Mikki Moore	2006 - 2007	0.630728
52	Pau Gasol	2008 - 2009	0.629879
53	Yao Ming	2004 - 2005	0.629755
54	Jamaal Magloire	2001 - 2002	0.629679
55	Enes Kanter	2015 - 2016	0.629667
56	Maybyner Nene	2009 - 2010	0.629075
57	Josh Childress	2007 - 2008	0.628855
58	Leon Powe	2007 - 2008	0.628510
59	JaVale McGee	2017 - 2018	0.628159
60	Cheick Diallo	2017 - 2018	0.628099
61	Montrezl Harrell	2017 - 2018	0.628057
62	Amar'e Stoudemire	2009 - 2010	0.626709
63	Jordan Bell	2017 - 2018	0.626609
64	Clint Capela	2017 - 2018	0.626338
65	Zaza Pachulia	2017 - 2018	0.625698
66	Corey Maggette	2009 - 2010	0.625420
67	Carl Landry	2012 - 2013	0.625285
68	Domantas Sabonis	2018 - 2019	0.625000
69	Erick Dampier	2006 - 2007	0.624762
70	Andris Biedrins	2007 - 2008	0.624658
71	Chris Andersen	2009 - 2010	0.624490
72	Nick Collison	2012 - 2013	0.624339
73	David Lee	2007 - 2008	0.624271
74	Dikembe Mutombo	1999 - 2000	0.623742
75	Robin Lopez	2013 - 2014	0.623450
76	DeAndre Jordan	2017 - 2018	0.622472
77	Amir Johnson	2009 - 2010	0.622177
78	Salah Mejri	2016 - 2017	0.621891
79	Nick Collison	2011 - 2012	0.621212
80	Amar'e Stoudemire	2004 - 2005	0.620866
81	Amir Johnson	2010 - 2011	0.620427
82	Hassan Whiteside	2015 - 2016	0.620178
83	Carl Landry	2009 - 2010	0.620132
84	Ivica Zubac	2018 - 2019	0.619802
85	Greg Smith	2012 - 2013	0.619753
86	Shawn Bradley	2002 - 2003	0.619565
87	Erick Dampier	2007 - 2008	0.619385
88	Mikki Moore	2007 - 2008	0.618128
89	Deyonta Davis	2017 - 2018	0.618012
90	Montrezl Harrell	2018 - 2019	0.617892
91	Jakob Poeltl	2018 - 2019	0.617801
92	Bam Adebayo	2018 - 2019	0.617607
93	Kyle O'Quinn	2017 - 2018	0.617424
94	JaVale McGee	2018 - 2019	0.617391
95	DeMar DeRozan	2019 - 2020	0.616938
96	Brandon Clarke	2019 - 2020	0.616794
97	Jonas Valanciunas	2016 - 2017	0.616721
98	Kendrick Perkins	2007 - 2008	0.616541
99	Nikola Pekovic	2011 - 2012	0.616225
100	Clint Capela	2016 - 2017	0.616216
