Rank	Player	Season	Value
1	James Harden	2018 - 2019	36.128205
2	Kobe Bryant	2005 - 2006	35.400000
3	James Harden	2019 - 2020	34.338235
4	Allen Iverson	2005 - 2006	33.013889
5	Tracy McGrady	2002 - 2003	32.093333
6	Kevin Durant	2013 - 2014	32.012346
7	Russell Westbrook	2016 - 2017	31.580247
8	Kobe Bryant	2006 - 2007	31.558442
9	Allen Iverson	2001 - 2002	31.383333
10	LeBron James	2005 - 2006	31.367089
11	Allen Iverson	2000 - 2001	31.084507
12	Allen Iverson	2004 - 2005	30.693333
13	Bradley Beal	2019 - 2020	30.543860
14	James Harden	2017 - 2018	30.430556
15	Dwyane Wade	2008 - 2009	30.202532
16	Kevin Durant	2009 - 2010	30.146341
17	Stephen Curry	2015 - 2016	30.063291
18	Kobe Bryant	2002 - 2003	30.012195
19	LeBron James	2007 - 2008	30.000000
20	Damian Lillard	2019 - 2020	29.969697
21	Jerry Stackhouse	2000 - 2001	29.750000
22	LeBron James	2009 - 2010	29.710526
23	Shaquille O'Neal	1999 - 2000	29.670886
24	Trae Young	2019 - 2020	29.633333
25	Giannis Antetokounmpo	2019 - 2020	29.476190
26	Gilbert Arenas	2005 - 2006	29.325000
27	James Harden	2016 - 2017	29.086420
28	James Harden	2015 - 2016	28.975610
29	Carmelo Anthony	2006 - 2007	28.938462
30	Isaiah Thomas	2016 - 2017	28.934211
31	Luka Doncic	2019 - 2020	28.836066
32	Shaquille O'Neal	2000 - 2001	28.716216
33	Carmelo Anthony	2012 - 2013	28.656716
34	Kobe Bryant	2000 - 2001	28.500000
35	Gilbert Arenas	2006 - 2007	28.445946
36	LeBron James	2008 - 2009	28.444444
37	Allen Iverson	1999 - 2000	28.414286
38	Kobe Bryant	2007 - 2008	28.329268
39	Kevin Durant	2015 - 2016	28.180556
40	Carmelo Anthony	2009 - 2010	28.159420
41	Russell Westbrook	2014 - 2015	28.149254
42	Kevin Durant	2012 - 2013	28.148148
43	Anthony Davis	2017 - 2018	28.133333
44	Paul George	2018 - 2019	28.038961
45	Kevin Durant	2011 - 2012	28.030303
46	Tracy McGrady	2003 - 2004	28.029851
47	Anthony Davis	2016 - 2017	27.986667
48	Kobe Bryant	2011 - 2012	27.862069
49	Kevin Durant	2010 - 2011	27.705128
50	Giannis Antetokounmpo	2018 - 2019	27.694444
51	Vince Carter	2000 - 2001	27.600000
52	Allen Iverson	2002 - 2003	27.585366
53	Kobe Bryant	2004 - 2005	27.560606
54	Joel Embiid	2018 - 2019	27.515625
55	Shaquille O'Neal	2002 - 2003	27.477612
56	LeBron James	2017 - 2018	27.451220
57	Carmelo Anthony	2013 - 2014	27.428571
58	Dwyane Wade	2006 - 2007	27.392157
59	James Harden	2014 - 2015	27.370370
60	LeBron James	2018 - 2019	27.363636
61	Kobe Bryant	2012 - 2013	27.346154
62	LeBron James	2006 - 2007	27.333333
63	DeMar DeRozan	2016 - 2017	27.297297
64	Stephen Curry	2018 - 2019	27.260870
65	Russell Westbrook	2019 - 2020	27.245614
66	Dwyane Wade	2005 - 2006	27.200000
67	Shaquille O'Neal	2001 - 2002	27.194030
68	LeBron James	2004 - 2005	27.187500
69	LeBron James	2011 - 2012	27.145161
70	LeBron James	2013 - 2014	27.129870
71	Chris Webber	2000 - 2001	27.114286
72	Kawhi Leonard	2019 - 2020	27.070175
73	Damian Lillard	2016 - 2017	26.986667
74	Kobe Bryant	2009 - 2010	26.986301
75	DeMarcus Cousins	2016 - 2017	26.972222
76	DeMarcus Cousins	2015 - 2016	26.892308
77	Damian Lillard	2017 - 2018	26.876712
78	Giannis Antetokounmpo	2017 - 2018	26.853333
79	Kobe Bryant	2008 - 2009	26.841463
80	Tracy McGrady	2000 - 2001	26.818182
81	LeBron James	2012 - 2013	26.789474
82	Paul Pierce	2005 - 2006	26.784810
83	LeBron James	2010 - 2011	26.721519
84	Michael Redd	2006 - 2007	26.716981
85	Devin Booker	2019 - 2020	26.614286
86	Kawhi Leonard	2018 - 2019	26.600000
87	Devin Booker	2018 - 2019	26.562500
88	Dwyane Wade	2009 - 2010	26.558442
89	Dirk Nowitzki	2005 - 2006	26.555556
90	Carmelo Anthony	2005 - 2006	26.525000
91	Karl-Anthony Towns	2019 - 2020	26.457143
92	Ray Allen	2006 - 2007	26.436364
93	LeBron James	2016 - 2017	26.405405
94	Stephen Curry	2017 - 2018	26.392157
95	Allen Iverson	2007 - 2008	26.390244
96	Kevin Durant	2017 - 2018	26.352941
97	Allen Iverson	2006 - 2007	26.292308
98	Paul Pierce	2001 - 2002	26.146341
99	Kevin Love	2013 - 2014	26.103896
100	Anthony Davis	2019 - 2020	26.096774
