Rank	Player	Season	Value
1	James Harden	2018 - 2019	0.983012
2	Giannis Antetokounmpo	2019 - 2020	0.968752
3	James Harden	2019 - 2020	0.940546
4	Russell Westbrook	2016 - 2017	0.913017
5	Stephen Curry	2015 - 2016	0.879630
6	Kobe Bryant	2005 - 2006	0.864311
7	Luka Doncic	2019 - 2020	0.859180
8	James Harden	2017 - 2018	0.858946
9	Isaiah Thomas	2016 - 2017	0.856142
10	Bradley Beal	2019 - 2020	0.847945
11	Giannis Antetokounmpo	2018 - 2019	0.845488
12	Trae Young	2019 - 2020	0.838640
13	Kawhi Leonard	2019 - 2020	0.834866
14	Kevin Durant	2013 - 2014	0.830637
15	Stephen Curry	2017 - 2018	0.825261
16	Russell Westbrook	2014 - 2015	0.819359
17	Joel Embiid	2018 - 2019	0.817435
18	Tracy McGrady	2002 - 2003	0.814827
19	Stephen Curry	2018 - 2019	0.806846
20	Damian Lillard	2019 - 2020	0.799612
21	James Harden	2016 - 2017	0.799538
22	DeMarcus Cousins	2016 - 2017	0.787702
23	Kevin Durant	2015 - 2016	0.787166
24	Anthony Davis	2018 - 2019	0.784865
25	Dwyane Wade	2008 - 2009	0.782808
26	Kawhi Leonard	2018 - 2019	0.782276
27	Karl-Anthony Towns	2019 - 2020	0.780118
28	DeMarcus Cousins	2015 - 2016	0.778342
29	Joel Embiid	2019 - 2020	0.778272
30	LeBron James	2018 - 2019	0.776814
31	Anthony Davis	2016 - 2017	0.775197
32	Kobe Bryant	2006 - 2007	0.773959
33	Carmelo Anthony	2012 - 2013	0.773632
34	Anthony Davis	2017 - 2018	0.773631
35	DeMar DeRozan	2016 - 2017	0.770934
36	Kevin Durant	2017 - 2018	0.770720
37	Allen Iverson	2005 - 2006	0.765909
38	Kevin Durant	2009 - 2010	0.763128
39	Kawhi Leonard	2016 - 2017	0.762982
40	LeBron James	2009 - 2010	0.761397
41	James Harden	2015 - 2016	0.760417
42	Paul George	2018 - 2019	0.759837
43	Anthony Davis	2019 - 2020	0.759125
44	Kyrie Irving	2017 - 2018	0.759035
45	Devin Booker	2018 - 2019	0.758218
46	Russell Westbrook	2019 - 2020	0.757857
47	Stephen Curry	2016 - 2017	0.757714
48	Carmelo Anthony	2006 - 2007	0.756759
49	Joel Embiid	2017 - 2018	0.755635
50	LeBron James	2008 - 2009	0.754420
51	Shaquille O'Neal	2001 - 2002	0.752271
52	Lou Williams	2018 - 2019	0.751706
53	Damian Lillard	2016 - 2017	0.751550
54	Kevin Durant	2016 - 2017	0.751063
55	Kevin Durant	2018 - 2019	0.750296
56	Kobe Bryant	2010 - 2011	0.747832
57	LeBron James	2017 - 2018	0.743935
58	James Harden	2014 - 2015	0.743760
59	Kobe Bryant	2008 - 2009	0.743481
60	LeBron James	2007 - 2008	0.743359
61	Amar'e Stoudemire	2007 - 2008	0.743051
62	Devin Booker	2019 - 2020	0.741699
63	Shaquille O'Neal	1999 - 2000	0.741069
64	Allen Iverson	2000 - 2001	0.740853
65	Jerry Stackhouse	2000 - 2001	0.740280
66	Karl-Anthony Towns	2018 - 2019	0.738790
67	Carmelo Anthony	2009 - 2010	0.737605
68	LeBron James	2005 - 2006	0.737215
69	Damian Lillard	2017 - 2018	0.734831
70	Kemba Walker	2018 - 2019	0.734297
71	Zach LaVine	2019 - 2020	0.733672
72	LeBron James	2019 - 2020	0.733066
73	Dwyane Wade	2009 - 2010	0.732345
74	Kevin Durant	2012 - 2013	0.731027
75	Giannis Antetokounmpo	2017 - 2018	0.730716
76	Damian Lillard	2018 - 2019	0.728355
77	Paul George	2019 - 2020	0.728029
78	Kobe Bryant	2007 - 2008	0.727689
79	Stephen Curry	2014 - 2015	0.727078
80	Shaquille O'Neal	2000 - 2001	0.726744
81	Kevin Durant	2011 - 2012	0.726544
82	Shaquille O'Neal	2002 - 2003	0.726233
83	Allen Iverson	2004 - 2005	0.725268
84	Kobe Bryant	2011 - 2012	0.723949
85	Dwyane Wade	2006 - 2007	0.723609
86	LeBron James	2011 - 2012	0.723498
87	Kobe Bryant	2002 - 2003	0.723398
88	Carmelo Anthony	2005 - 2006	0.721744
89	Kyrie Irving	2018 - 2019	0.720867
90	Kevin Martin	2010 - 2011	0.720845
91	Amar'e Stoudemire	2004 - 2005	0.720222
92	LeBron James	2013 - 2014	0.719873
93	Kyrie Irving	2016 - 2017	0.719322
94	Kevin Love	2013 - 2014	0.718756
95	Allen Iverson	2001 - 2002	0.718154
96	Carmelo Anthony	2010 - 2011	0.716025
97	Gilbert Arenas	2006 - 2007	0.715573
98	Lou Williams	2016 - 2017	0.712852
99	Danny Granger	2008 - 2009	0.712812
100	Kevin Durant	2010 - 2011	0.711393
