Rank	Player	Season	Value
1	Larry Hughes	2004 - 2005	2.885246
2	Allen Iverson	2001 - 2002	2.800000
3	Chris Paul	2008 - 2009	2.769231
4	Allen Iverson	2002 - 2003	2.743902
5	Chris Paul	2007 - 2008	2.712500
6	Eddie Jones	1999 - 2000	2.666667
7	Chris Paul	2011 - 2012	2.533333
8	Allen Iverson	2000 - 2001	2.507042
9	Chris Paul	2013 - 2014	2.483871
10	Chris Paul	2012 - 2013	2.414286
11	Allen Iverson	2004 - 2005	2.400000
12	Victor Oladipo	2017 - 2018	2.360000
13	Baron Davis	2003 - 2004	2.358209
14	Chris Paul	2010 - 2011	2.350000
15	Rajon Rondo	2009 - 2010	2.333333
16	Ricky Rubio	2013 - 2014	2.329268
17	Baron Davis	2007 - 2008	2.329268
18	Kawhi Leonard	2014 - 2015	2.312500
19	Metta World Peace	2002 - 2003	2.304348
20	Shawn Marion	2002 - 2003	2.283951
21	Doug Christie	2000 - 2001	2.259259
22	Rajon Rondo	2010 - 2011	2.250000
23	Doug Christie	2002 - 2003	2.250000
24	Chris Paul	2005 - 2006	2.243590
25	Jason Kidd	2002 - 2003	2.237500
26	Monta Ellis	2009 - 2010	2.234375
27	LeBron James	2004 - 2005	2.212500
28	Paul George	2018 - 2019	2.207792
29	Kobe Bryant	2002 - 2003	2.207317
30	Mike Conley	2011 - 2012	2.193548
31	Dwyane Wade	2008 - 2009	2.189873
32	Mike Conley	2012 - 2013	2.175000
33	Jason Kidd	2000 - 2001	2.155844
34	Baron Davis	2006 - 2007	2.142857
35	Stephen Curry	2015 - 2016	2.139241
36	Jason Kidd	2001 - 2002	2.134146
37	Ricky Rubio	2015 - 2016	2.131579
38	Metta World Peace	2006 - 2007	2.128571
39	Robert Covington	2018 - 2019	2.114286
40	Shawn Marion	2003 - 2004	2.113924
41	Thaddeus Young	2013 - 2014	2.113924
42	Monta Ellis	2010 - 2011	2.100000
43	Dwyane Wade	2006 - 2007	2.098039
44	Baron Davis	2001 - 2002	2.097561
45	Russell Westbrook	2014 - 2015	2.089552
46	Ben Simmons	2019 - 2020	2.087719
47	Andre Iguodala	2007 - 2008	2.085366
48	Paul Pierce	1999 - 2000	2.082192
49	Metta World Peace	2003 - 2004	2.082192
50	Baron Davis	2000 - 2001	2.073171
51	Terrell Brandon	2000 - 2001	2.064103
52	Darrell Armstrong	1999 - 2000	2.060976
53	Monta Ellis	2012 - 2013	2.060976
54	Allen Iverson	1999 - 2000	2.057143
55	Chris Paul	2015 - 2016	2.054054
56	Kyle Lowry	2015 - 2016	2.051948
57	Tony Allen	2014 - 2015	2.047619
58	Paul George	2017 - 2018	2.037975
59	Stephen Curry	2014 - 2015	2.037500
60	Russell Westbrook	2015 - 2016	2.037500
61	Draymond Green	2016 - 2017	2.026316
62	James Harden	2018 - 2019	2.025641
63	Eric Bledsoe	2017 - 2018	2.013514
64	John Wall	2016 - 2017	2.012821
65	Gilbert Arenas	2005 - 2006	2.012500
66	Shawn Marion	2004 - 2005	2.012346
67	Jason Kidd	1999 - 2000	2.000000
68	Metta World Peace	2000 - 2001	2.000000
69	Gerald Wallace	2006 - 2007	2.000000
70	Mookie Blaylock	1999 - 2000	2.000000
71	Andre Iguodala	2006 - 2007	2.000000
72	Kris Dunn	2019 - 2020	1.980392
73	Jason Kidd	2008 - 2009	1.975309
74	Doug Christie	2001 - 2002	1.975309
75	Trevor Ariza	2015 - 2016	1.975309
76	Shawn Marion	2005 - 2006	1.975309
77	Jimmy Butler	2017 - 2018	1.966102
78	Chris Paul	2018 - 2019	1.965517
79	Rajon Rondo	2015 - 2016	1.958333
80	Kemba Walker	2012 - 2013	1.951220
81	Mario Chalmers	2008 - 2009	1.951220
82	Allen Iverson	2007 - 2008	1.951220
83	Chris Paul	2016 - 2017	1.950820
84	Shawn Marion	2006 - 2007	1.950000
85	Dwyane Wade	2005 - 2006	1.946667
86	Russell Westbrook	2018 - 2019	1.945205
87	Allen Iverson	2005 - 2006	1.944444
88	Andrei Kirilenko	2003 - 2004	1.923077
89	Darrell Armstrong	2001 - 2002	1.914634
90	Russell Westbrook	2013 - 2014	1.913043
91	Andre Drummond	2019 - 2020	1.912281
92	Chris Paul	2014 - 2015	1.902439
93	James Harden	2014 - 2015	1.901235
94	Stephen Curry	2009 - 2010	1.900000
95	Karl Malone	2001 - 2002	1.900000
96	Jimmy Butler	2013 - 2014	1.895522
97	Robert Covington	2016 - 2017	1.895522
98	Jimmy Butler	2018 - 2019	1.892308
99	Allen Iverson	2006 - 2007	1.892308
100	Russell Westbrook	2010 - 2011	1.890244
