Rank	Player	Season	Value
1	JaVale McGee	2012 - 2013	1.000000
2	Elton Brand	2006 - 2007	1.000000
3	Eddy Curry	2003 - 2004	1.000000
4	Johan Petro	2011 - 2012	1.000000
5	Eddy Curry	2006 - 2007	1.000000
6	Hassan Whiteside	2017 - 2018	1.000000
7	Tony Bradley	2019 - 2020	1.000000
8	Marc Jackson	2002 - 2003	1.000000
9	Enes Kanter	2012 - 2013	1.000000
10	Reggie Evans	2007 - 2008	1.000000
11	Marcin Gortat	2008 - 2009	1.000000
12	Al Horford	2009 - 2010	1.000000
13	Malik Rose	2005 - 2006	1.000000
14	Marcin Gortat	2013 - 2014	1.000000
15	Anthony Mason	2001 - 2002	1.000000
16	Yao Ming	2008 - 2009	1.000000
17	Mark Madsen	2000 - 2001	1.000000
18	D.J. White	2011 - 2012	1.000000
19	Joe Smith	1999 - 2000	1.000000
20	Tony Massenburg	2001 - 2002	1.000000
21	Jamie Feick	1999 - 2000	1.000000
22	Andrew Bogut	2015 - 2016	1.000000
23	Joe Smith	2001 - 2002	0.666667
24	Shaun Livingston	2011 - 2012	0.666667
25	Brian Skinner	2007 - 2008	0.666667
26	Kurt Thomas	2002 - 2003	0.666667
27	Dahntay Jones	2008 - 2009	0.647059
28	Dwight Howard	2019 - 2020	0.600000
29	Hassan Whiteside	2019 - 2020	0.571429
30	Pau Gasol	2016 - 2017	0.538462
31	Domantas Sabonis	2018 - 2019	0.529412
32	Jason Kapono	2006 - 2007	0.514286
33	JaVale McGee	2019 - 2020	0.500000
34	Darvin Ham	2003 - 2004	0.500000
35	Al Horford	2012 - 2013	0.500000
36	Jakob Poeltl	2017 - 2018	0.500000
37	Solomon Jones	2008 - 2009	0.500000
38	Michael Doleac	1999 - 2000	0.500000
39	Jonas Valanciunas	2016 - 2017	0.500000
40	Malik Allen	2007 - 2008	0.500000
41	Trevor Booker	2011 - 2012	0.500000
42	Kevin Ollie	2001 - 2002	0.500000
43	Juwan Howard	2002 - 2003	0.500000
44	Marcus Camby	1999 - 2000	0.500000
45	Jacque Vaughn	2006 - 2007	0.500000
46	Dwight Howard	2006 - 2007	0.500000
47	Serge Ibaka	2009 - 2010	0.500000
48	Bo Outlaw	2000 - 2001	0.500000
49	Al Horford	2010 - 2011	0.500000
50	Eddie Robinson	2000 - 2001	0.500000
51	Arvydas Sabonis	2002 - 2003	0.500000
52	DeSagana Diop	2005 - 2006	0.500000
53	Pau Gasol	2008 - 2009	0.500000
54	Shelden Williams	2006 - 2007	0.500000
55	Yao Ming	2002 - 2003	0.500000
56	Lee Nailon	2001 - 2002	0.500000
57	Greg Ostertag	2000 - 2001	0.500000
58	Jason Collins	2001 - 2002	0.500000
59	Dominic McGuire	2008 - 2009	0.500000
60	Olden Polynice	1999 - 2000	0.500000
61	Willie Cauley-Stein	2018 - 2019	0.500000
62	Bo Outlaw	2001 - 2002	0.500000
63	Roy Hibbert	2009 - 2010	0.500000
64	Sean Rooks	2000 - 2001	0.500000
65	Brian Grant	1999 - 2000	0.500000
66	Tarik Black	2016 - 2017	0.500000
67	Kurt Thomas	2004 - 2005	0.500000
68	Kwame Brown	2003 - 2004	0.500000
69	Ryan Bowen	2004 - 2005	0.500000
70	Rodney Hood	2019 - 2020	0.492958
71	Josh Childress	2005 - 2006	0.492308
72	Kyle Korver	2014 - 2015	0.492205
73	Hubert Davis	1999 - 2000	0.491018
74	Jason Kapono	2007 - 2008	0.483051
75	Fred Hoiberg	2004 - 2005	0.482759
76	Anthony Peeler	2003 - 2004	0.482270
77	Joe Johnson	2004 - 2005	0.478378
78	Jeff Hornacek	1999 - 2000	0.478261
79	Zydrunas Ilgauskas	2009 - 2010	0.478261
80	Enes Kanter	2015 - 2016	0.476190
81	J.J. Redick	2015 - 2016	0.475059
82	Jason Smith	2016 - 2017	0.474359
83	Joe Harris	2018 - 2019	0.474093
84	Gordon Hayward	2010 - 2011	0.472973
85	Kyle Korver	2013 - 2014	0.471939
86	Steve Novak	2011 - 2012	0.471631
87	Steve Smith	2001 - 2002	0.471545
88	Steve Nash	2007 - 2008	0.469816
89	Jon Barry	2001 - 2002	0.468992
90	Darren Collison	2017 - 2018	0.468293
91	Eric Piatkowski	2001 - 2002	0.466387
92	Bruce Bowen	1999 - 2000	0.465517
93	Tomas Satoransky	2017 - 2018	0.465347
94	Jose Calderon	2017 - 2018	0.463918
95	John Stockton	2000 - 2001	0.462121
96	Dante Cunningham	2018 - 2019	0.461538
97	Pau Gasol	2014 - 2015	0.461538
98	Jose Calderon	2012 - 2013	0.460993
99	George Hill	2019 - 2020	0.460227
100	Mike Miller	2013 - 2014	0.459227
